emissions_total,product_name,nutrient_mass_emissions,nutrient_mass_fraction,product_category
0.2,Nuts,0.9456264775413712,0.2115,plants
1.6,Other Pulses,6.496142915144134,0.2463,plants
1.1,Barley (Beer),8.814102564102566,0.12480000000000001,plants
2.4,Groundnuts,9.527590313616514,0.2519,plants
1.4000000000000004,Wheat & Rye (Bread),11.382113821138216,0.123,plants
0.30000000000000004,Potatoes,12.096774193548388,0.0248,plants
1.1,Maize (Meal),12.571428571428573,0.0875,plants
0.4,Brassicas,14.184397163120568,0.0282,plants
0.7999999999999999,Peas,14.760147601476012,0.054200000000000005,plants
0.30000000000000004,Onions & Leeks,27.27272727272728,0.011,plants
7.2,Pig Meat,28.026469443363176,0.2569,meats
0.30000000000000004,Root Vegetables,33.333333333333336,0.009,plants
5.1,Fish (farmed),33.486539724228486,0.15230000000000002,meats
6.1000000000000005,Poultry Meat,34.977064220183486,0.1744,meats
4.5,Eggs,36.29032258064516,0.124,eggs and dairy
3.0,Tofu,36.40776699029126,0.0824,plants
1.0,Soymilk,38.46153846153846,0.026,plants
1.4,Beet Sugar,39.21568627450981,0.035699999999999996,plants
0.3,Citrus Fruit,42.857142857142854,0.007,plants
11.8,Shrimps (farmed),58.70646766169154,0.201,meats
0.9,Cassava,66.1764705882353,0.013600000000000001,plants
1.6,Oatmeal,66.94560669456067,0.0239,plants
0.7999999999999999,Bananas,73.39449541284404,0.0109,plants
21.2,Cheese,78.63501483679525,0.2696,eggs and dairy
2.8000000000000003,Milk,88.8888888888889,0.0315,eggs and dairy
0.30000000000000004,Apples,115.38461538461542,0.0026,plants
24.5,Lamb & Mutton,147.94685990338164,0.1656,meats
4.0,Rice,149.81273408239701,0.026699999999999998,plants
1.0999999999999999,Berries & Grapes,152.7777777777778,0.007199999999999999,plants
1.4000000000000001,Tomatoes,159.0909090909091,0.0088,plants
59.599999999999994,Beef (beef herd),261.40350877192975,0.228,meats
18.7,Dark Chocolate,337.54512635379064,0.0554,plants
1.4,Wine,1999.9999999999998,0.0007000000000000001,plants
2.6,Cane Sugar,2166.666666666667,0.0012,plants
